code,date,conductivity,T_avg,pH,Cl,SO4,NO3,PO4,Br,F,Ca,Mg,Na,K,Fe,Si,Al,S,P,Li,Be,B,Sc,Ti,V,Cr,Mn,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Rb,Sr,Y,Zr,Nb,Mo,Cd,Sn,Sb,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Tl,Pb,Bi,Th,U
Mag-1,2016-06-10T00:00:00Z,255,27.4,7.17,7.870273795153357,3.0684016480414615,3.588816234085084,0.01150556842105263,0.083,0.07715378801207662,31.258,3.0364999999999998,11.986,7.4167000000000005,0.0705,0.8548,0.0498,0.8548,-0.0047,0.79990000000000006,0.79990000000000006,50.15,0.79990000000000006,2.687,0.79990000000000006,0.79990000000000006,21.53,0.79990000000000006,0.79990000000000006,1.284,9.823,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,15.2,129.9,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,45.29,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006
VinL-1,2016-06-10T00:00:00Z,1103,30,6.93,173.8841620016295,30.682342615198788,18.008514206099,10,0.439,0.06312957993456172,122.94,12.931999999999999,90.148,3.9366000000000003,0.0741,9.5711,0.059300000000000005,9.5711,-0.02,2.664,0.79990000000000006,40.82,0.79990000000000006,2.673,2.15,1.371,2.521,0.79990000000000006,4.102,7.219,30.59,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,1.854,402.3,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,58.8,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,1.755,0.79990000000000006,0.79990000000000006,1.447
VinD-1,2016-06-10T00:00:00Z,915,29.6,6.74,63.323370862101555,9.367388439631165,46.001505898770596,0.013006294736842103,0.159,0.12536353653762536,163.34,6.2761,22.332,1.7269,0.0048000000000000004,2.9082000000000003,0.0014999999999999998,2.9082000000000003,0.0173,2.729,0.79990000000000006,26.78,0.79990000000000006,0.79990000000000006,0.97,0.79990000000000006,0.79990000000000006,0.79990000000000006,1.506,0.921,4.857,0.79990000000000006,0.79990000000000006,0.79990000000000006,1.14,1.333,623.5,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,65.45,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,1.593
Gaz-1,2016-06-10T00:00:00Z,819,28.6,7.17,34.60368465503039,31.221233770734646,5.80988120513353,0.016007747368421053,0.084,0.0663902105441991,65.828,2.9502,19.84,29.766,0.0265,5.906700000000001,-0.027499999999999997,5.906700000000001,0.0148,2.31,0.79990000000000006,25.09,0.79990000000000006,0.79990000000000006,1.088,0.79990000000000006,2.436,0.79990000000000006,0.857,0.79990000000000006,2.121,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,4.79,196.1,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,47.31,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006
Mil-1,2016-06-10T00:00:00Z,591,28.6,6.96,14.471108387078546,6.438018442678576,8.984431026616098,0.01750847368421053,10,0.05070573462761402,102.87,3.6307,14.366000000000001,4.6606,0.0027,1.9296,0.039599999999999996,1.9296,-0.0106,5.982,0.79990000000000006,21.92,0.79990000000000006,0.79990000000000006,0.79990000000000006,1.557,0.79990000000000006,0.79990000000000006,0.969,5.253,11.58,0.79990000000000006,0.79990000000000006,0.79990000000000006,1.45,3.245,236.9,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,83.73,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006
Fsh-1,2016-06-10T00:00:00Z,196,27.8,7.15,10.082231786331262,9.214500573710046,1.146334544773913,0.009504599999999998,0.079,0.054109182640059025,27.492,0.9316000000000001,8.9097,1.4247999999999998,0.037399999999999996,2.7293000000000003,-0.086,2.7293000000000003,-0.004200000000000001,0.79990000000000006,0.79990000000000006,10.88,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,6.068,0.79990000000000006,0.79990000000000006,0.79990000000000006,29.45,0.79990000000000006,0.79990000000000006,1.307,1.569,3.11,83.02,0.79990000000000006,0.79990000000000006,0.79990000000000006,4.823,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,18.22,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006
Sal-1,2016-06-10T00:00:00Z,661,28.7,6.88,18.799768543889968,13.765982341913357,0.8023203939033685,0.022510894736842105,0.047,0.14300476378591148,108.85999999999999,6.5527,25.732,2.1673,0.0311,4.244,0.016399999999999998,4.244,-0.018699999999999998,5.296,0.79990000000000006,49.81,1.233,0.79990000000000006,1.151,0.79990000000000006,1.687,0.79990000000000006,1.243,1.515,95.42,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,1.997,436.5,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,54.73,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,1.195
Mun-1,2016-06-10T00:00:00Z,661,28.8,6.82,21.62003571375267,5.9736019940488125,4.890404640371706,0.011005326315789472,0.062,0.10746741968740924,120.37,3.8731999999999998,17.198999999999998,1.2913,0.0251,1.9002,0.042300000000000004,1.9002,0.0205,2.221,0.79990000000000006,28.03,0.79990000000000006,0.79990000000000006,0.79990000000000006,1.447,1.786,0.79990000000000006,1.542,6.296,38.32,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,1.359,250.5,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,132.3,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,1.083,0.79990000000000006,0.79990000000000006,0.79990000000000006
Mag-2,2016-06-18T00:00:00Z,272,27.8,7.24,11.857392541243632,3.5973495428573545,8.040215480970762,10,0.084,0.07923267464528422,33.999,3.4953000000000003,12.669999999999998,6.5211,-0.0064,0.8451,-0.0319,0.8451,0.0248,0.79990000000000006,0.79990000000000006,49.79,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,27.12,0.79990000000000006,0.916,0.79990000000000006,4.149,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,13.34,145.5,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,54.4,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006
VinL-2,2016-06-18T00:00:00Z,1157,30,7.02,173.93113670100826,28.164101850065006,18.85705377555584,0.020009684210526315,0.426,0.06487904871141151,126.6,14.158999999999999,90.336,4.1272,0.0739,9.0493,0.18939999999999999,9.0493,-0.0045,2.904,0.79990000000000006,41.31,0.79990000000000006,8.065,1.952,1.785,1.641,0.79990000000000006,1.496,2.76,42.81,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,1.783,411.5,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,56.14,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,1.401
