localization,geology,utm_x,utm_y,date,conductivity,T_avg,pH,TOC,alkalinity,DO,ORP,eH,NH4,Cl,SO4,NO3,PO4,Br,F,Ca,Mg,Na,K,Fe,Si,Al,S,P,Li,Be,B,Sc,Ti,V,Cr,Mn,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Rb,Sr,Y,Zr,Nb,Mo,Cd,Sn,Sb,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Tl,Pb,Bi,Th,U,del_18O,del_2H
Foot Print Childeren Home/School,Sandstones,548785,9523807,2016-03-01T00:00:00Z,343.6,27.9,5.61,0.605,67.12200000000001,0.37,-88.4,131.6,0,43.07101506799241,31.91342015418256,1.073224500588018,0.401515,0.233,0.07947819661867622,2.4595000000000002,6.8642,44.316,3.966,2.8783,34.16,-0.0197,10.439,0.21639999999999998,20.57,0.79990000000000006,67.07,5.84,4.59,0.833,0.79990000000000006,164.1,2.001,2.836,2.132,46.64,0.79990000000000006,0.79990000000000006,2.259,0.79990000000000006,7.05,56.45,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,113.5,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,-3.4278237452646176,-13.508943363415604
Mabokoni Msikitini,P,557097,9523858,2016-03-01T00:00:00Z,218.6,28.9,6.03,0.517,97.632,3.37,80.2,300.2,0,14.500393822408808,4.455382921115584,1.4150975357362416,0.04904,0.066,0.02032762714703561,23.580000000000002,0.7728,13.315999999999999,0.4565,0.0573,13.841000000000001,0.09910000000000001,1.4588,0.0034000000000000002,0.79990000000000006,0.79990000000000006,37.82,2.063,1.717,0.83,1.333,11.62,0.79990000000000006,0.79990000000000006,1.069,16.56,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,1.476,82.25,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,68.8,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,1.525,0.79990000000000006,0.79990000000000006,0.79990000000000006,-2.866072082775285,-10.133173987948707
Ukunda Settlement Scheme,P,558759,9523506,2016-03-02T00:00:00Z,619,28.8,6.9,0.694,219.67200000000003,0.9,-44.4,175.6,2,17.228747581389793,2.531266756388362,2.3809406930854995,0.401515,0.088,0.06637082613426172,80.015,9.3153,17.912,4.5842,0.0337,17.747999999999998,0.08510000000000001,0.9273,0.14880000000000002,3.982,0.79990000000000006,41.57,2.745,2.374,2.276,0.79990000000000006,167.8,0.79990000000000006,0.863,4.661,21.1,0.79990000000000006,0.79990000000000006,3.259,0.79990000000000006,4.592,250.8,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,110.9,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,-3.144623670986099,-12.8777471352184
Kiuzini,Plc,559240,9519628,2016-03-02T00:00:00Z,716,29.4,6.64,1.726,244.08,3.52,54.4,274.4,0,18.527331544925268,11.463536871872867,2.047770241733804,0.05517,0.063,0.14474902864117614,103.53999999999999,9.227,17.19,2.6448,0.0172,14.428,0.0776,3.8289,0.023999999999999997,5.703,0.79990000000000006,39.91,1.828,1.194,2.204,3.338,2.699,0.79990000000000006,1.209,1.637,14.86,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,1.917,316.5,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,122.8,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,2.7,0.79990000000000006,0.79990000000000006,1.2,-3.4993389155369683,-13.718353738595532
Galu Chungoni,Plc,559733,9518623,2016-03-06T00:00:00Z,949,30.5,6.78,1.177,323.406,3.46,36.5,256.5,0,61.07275510584117,27.361832074786552,2.776902331890953,0.027585,0.664,0.2144450347267463,114.80000000000001,14.452,44.272,4.135,0.0743,16.773,0.0967,8.8964,0.032,7.459,0.79990000000000006,59.98,2.312,1.951,3.297,3.399,3.677,0.79990000000000006,1.326,2.819,22.94,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,2.244,452.3,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,196.2,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,1.765,-3.300627356927472,-13.770428403480562
Mwabungo _ Chiungoni,Plc,559750,9518974,2016-03-06T00:00:00Z,950,29.4,6.89,0.756,305.1,2.1,39.8,259.8,0,60.78311737914367,21.698461959777745,20.009541978550967,0.04904,2.266,0.17021453599581116,114.12,13.019,42.846000000000004,3.5911999999999997,0.043899999999999995,15.043,0.12319999999999999,7.9384,0.020999999999999998,6.497,0.79990000000000006,56.75,1.889,1.387,3.61,1.192,6.41,0.79990000000000006,1.124,2.051,19.44,0.79990000000000006,0.79990000000000006,0.888,0.79990000000000006,2.003,451.9,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,169.1,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,1.765,-2.981874799077647,-12.701475362813415
Mvureni-Maweni,Plc,561675.091028,9518791.3043499999,2016-03-06T00:00:00Z,2993,30.4,6.93,0.806,286.79400000000004,5.46,-23.3,196.7,0,690.3018696344969,82.80460732096277,4.592033692944089,0.015325,2.787,0.16721414181140465,133.14,35.137,348.87,9.2701,0.0628,10.316,0.10250000000000001,26.365,-0.0102,10.86,0.79990000000000006,100,1.076,1.909,5.688,1.566,6.06,0.79990000000000006,1.652,5.51,38.77,0.79990000000000006,0.79990000000000006,2.646,1.687,4.234,709.4,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,144,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,1.35,-2.6561045139982173,-11.302981398738924
Neptune,Plc,561998.43999999994,9518317.5600000005,2016-03-06T00:00:00Z,4423,30.6,7.2,0.542,237.978,2.62,34.1,254.1,0,1104.505962823441,133.31614572148368,9.991438697428041,0.03065,4.678,0.1526054492954235,131.88,59.891,561.56,17.551000000000002,0.06709999999999999,8.8196,0.114,42.89,-0.014599999999999998,13.07,0.79990000000000006,163.9,0.99,1.08,7.299,1.294,5.321,0.79990000000000006,1.464,2.982,31.95,0.79990000000000006,0.79990000000000006,3.568,3.604,6.879,838.8,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,135.4,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,1.241,-2.38758410894976,-10.013960779968688
Ukunda Settlement Scheme,Pls,559676,9522558,2016-03-02T00:00:00Z,828,29.1,6.62,3.864,378.324,2.59,-6.1,213.9,0,18.77363915458715,3.4038563931457073,1.4541806238943111,0.0613,0.074,0.170509929986048,108.75999999999999,12.997,30.038999999999998,2.362,0.047,15.857000000000001,0.08399999999999999,1.1705,0.0091,3.882,0.79990000000000006,61.77,2.28,1.228,2.927,0.964,7.859,0.79990000000000006,1.244,22.52,41.89,0.79990000000000006,0.79990000000000006,1.573,0.79990000000000006,0.935,337.6,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,152.1,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,2.075,-3.46679951306305,-13.886252676571653
Ukunda Settlement Scheme,Pls,559400,9521914,2016-03-02T00:00:00Z,826,29.2,6.66,0.694,353.916,3.11,54.1,274.1,0,17.325940149041458,3.3228709177365205,1.979464954070781,0.039845,0.07,0.2012373557672996,106.38,15.542,29.626,2.4414,0.021900000000000003,17.344,0.1072,1.1244999999999998,0.038,4.815,0.79990000000000006,61.19,2.618,2.554,3.168,1.266,7.817,0.79990000000000006,1.114,29.71,28.09,0.79990000000000006,0.79990000000000006,1.438,0.79990000000000006,0.79990000000000006,404.1,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,154.6,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,0.79990000000000006,2.059,-3.416023742169678,-13.50190124460424
